	labial:+;coronal:-;distributed:0;dorsal:- | labial:+;coronal:-;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+ | labial:-;coronal:+;distributed:+;dorsal:+;anterior:-;strident:-;front:+	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪|d	ɡ	3/3	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪|t	k	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
