	labial:+;coronal:-;anterior:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		z̪		1/3	0.4197715454385457
periodicGlottalSource:-	f	s̪	ʃ	3/3	1.0
	1/2	2/2	1/2
	0.6625450972908989	1.0	0.7681178006515341
