	labial:+;coronal:-;strident:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	ð	ɣ	3/3	1.0
periodicGlottalSource:-	f	s̺		2/3	0.8273181594831734
	2/2	2/2	1/2
	1.0	1.0	0.2955652519701484
