	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	ts	t̠	t̠ʃ	k	kʲ	kʷ	8/8	1.0
periodicGlottalSource:+;category:fricative	β								1/8	0.2642195799759689
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd		n̠d̠		ŋɡ			4/8	0.7890615744734242
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s		ʃ				2/8	0.49582270613675755
	3/4	2/4	2/4	2/4	2/4	2/4	1/4	1/4
	0.8513253021594998	0.9024938219897998	0.8022753159246874	0.4020551102269496	0.7651869877894248	0.8190709845644409	0.47240080218781805	0.6084294759036784
