p	t	t̠	k	kʲ	kʷ	6/6	1.0
mb	nd	n̠d̠	ŋɡ			4/6	0.8984860511061451
2/2	2/2	2/2	2/2	1/2	1/2
1.0	1.0	1.0	1.0	0.5514464456252874	0.8239507040742778
