	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	t̠	k	kʲ	kʷ	6/6	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	n̠d̠	ŋɡ			4/6	0.8984860511061451
	2/2	2/2	2/2	2/2	1/2	1/2
	1.0	1.0	1.0	1.0	0.5514464456252874	0.8239507040742778
