	labial:+;labiodental:-;coronal:-;anterior:0;dorsal:-;high:0;front:0;back:0	labial:+;labiodental:+;coronal:-;anterior:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:+;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;anterior:+;dorsal:+;high:+;front:+;back:-	labial:-;labiodental:0;coronal:-;anterior:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+	β	v	z̪	ʒ	ʑ	ʁ	6/6	1.0
periodicGlottalSource:-		f	s̪	ʃ	ɕ	χ	5/6	0.9601937942873799
	1/2	2/2	2/2	2/2	2/2	2/2
	0.5479002076962644	1.0	1.0	1.0	1.0	1.0
