	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+		d			1/4	0.3302454806052756
periodicGlottalSource:-	p	t	c	k	4/4	1.0
	1/2	2/2	1/2	1/2
	0.6469266840209866	1.0	0.5397368573575658	0.7407770089337997
