	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:-;round:+	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	β	z	ʒ	ʒʷ	ɣ	5/5	1.0
periodicGlottalSource:-	f	s	ʃ	ʃʷ	x	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
