	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	ɮ	z	ʒ	ɣ	5/5	1.0
periodicGlottalSource:-	f	ɬ	s	ʃ	x	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
