			kʼ	1/4	0.4344727795436681
b	d		ɡ	3/4	0.9282918820012273
ɓ	ɗ			2/4	0.8038629283657579
p	t	c	k	4/4	1.0
3/4	3/4	1/4	3/4
0.92667169799602	0.9258219955510325	0.48480511545115473	0.9942345364887322
