b	d				2/5	0.644861576198364
p	t	kp	c	k	5/5	1.0
f	s	-			2/4	0.802392085064903
3/3	3/3	1/2	1/3	1/3
1.0	1.0	0.4693197796308422	0.4677690739109221	0.6423792360201864
