	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b		ɡ	2/3	0.9625101560837268
periodicGlottalSource:-	p	t̪|t	k	3/3	1.0
	2/2	1/2	2/2
	1.0	0.6775696423746886	1.0
