	labial:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:-,+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;anterior:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;anterior:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b		ɡ	2/3	0.9625101560837268
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪|t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s̪|s		1/3	0.7366759088107278
	2/3	2/3	2/3
	0.8420121574280209	0.9758533625253907	0.8668833728480371
