	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	bv	dz	d̠ʒ	3/3	1.0
periodicGlottalSource:-		ts	t̠ʃ	2/3	0.9984631996211512
	1/2	2/2	2/2
	0.3191808887125712	1.0	1.0
