	labial:+;coronal:-;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:-;dorsal:+;high:+;front:-;back:-;round:0	labial:-;coronal:-;dorsal:+;high:+;front:-,+;back:-;round:0	labial:-,+;coronal:-;dorsal:+;high:+;front:-;back:-;round:+	labial:0,-,+;coronal:-;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;dorsal:+;high:-;front:-;back:+;round:0	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+			kʼ	kʲʼ		-		2/6	0.3160682529902066
periodicGlottalSource:-;constrictedGlottis:+,-;raisedLarynxEjective:-	ˀp	ˀt̪			-	ˀkʷ	ˀq	4/6	0.9975104430874026
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d̪	ɡ	ɡʲ	ɡʷ	-	ɢ	6/6	1.0
	2/3	2/3	2/3	2/3	1/2	1/1	2/3
	0.8275789745344897	0.7984093222886951	0.9999860783854904	0.9999507283863309	0.4358659889577375	1.0	0.3415144587312855
