	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:0,-,+;strident:-;anterior:+;distributed:0,+,-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-,+;back:-;round:0 | labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:0,-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+,-,-;raisedLarynxEjective:-;category:affricate|plosive	-	-	-	-	ˀt̪ɬ	-	-	-	-	-	1/1	1.0
periodicGlottalSource:-;constrictedGlottis:+,-;raisedLarynxEjective:-;category:affricate|plosive	ˀp	ˀt̪	-	ˀt̪s	-			-	ˀkʷ	ˀq	5/7	0.9979532183745169
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	d̪			-	ɡʲ	ɡ	ɡʷ	-	ɢ	6/8	0.8584758833325792
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			ɬ	s	-	ç		xʷ	-	χ	5/8	0.6726105928860008
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive				t̪s	-						1/9	0.19122572965402637
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive					-	kʲʼ	kʼ		-		2/8	0.27568027256954686
	2/5	2/5	1/4	3/5	1/1	3/5	2/5	2/4	1/2	3/5
	0.2929884492913972	0.22761862373899727	0.5953324165875787	0.7839415348304208	1.0	0.5609107897675065	0.33883757316210256	0.3596790774232606	0.46341463414634143	0.3741332867717206
