	labiodental:0;lateral:-;strident:+;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:0,-,+;strident:-;distributed:0,+,-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:+,-,-	-	ˀt̪ɬ	1/1	1.0
constrictedGlottis:-	t̪s	-	1/1	1.0
constrictedGlottis:+,-	ˀt̪s	-	1/1	1.0
	2/2	1/1
	1.0	1.0
