		kʼ	kʲʼ		-		2/6	0.3160682529902066
ˀp	ˀt̪			-	ˀkʷ	ˀq	4/6	0.9975104430874026
b	d̪	ɡ	ɡʲ	ɡʷ	-	ɢ	6/6	1.0
2/3	2/3	2/3	2/3	1/2	1/1	2/3
0.8275789745344897	0.7984093222886951	0.9999860783854904	0.9999507283863309	0.4358659889577375	1.0	0.3415144587312855
