	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	ʃ	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	β			1/3	0.3912128053085311
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv	nz		2/3	0.9972321670327026
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-		ns		1/3	0.5426922661406209
	3/4	3/4	1/4
	0.9996272111550271	0.7901187600661934	0.7842155445650043
