	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p			t	t̠ʃ	k	4/6	0.9996877494351366
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b		-	d	d̠ʒ	ɡ	4/5	0.9996884430814013
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb			nd	n̠d̠ʒ	ŋɡ	4/6	0.9998367864033183
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mp			nt	n̠t̠ʃ	ŋk	4/6	0.9719130294735994
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	β	ɱv	nz				3/6	0.27563711272074826
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative		f	ns	s	ʃ		4/6	0.76218177578705
	5/6	2/6	2/5	5/6	5/6	4/6
	0.9619640243757664	0.9934901629876038	0.3611655416551878	0.9424406123285686	0.9236929817363613	0.823179947712199
