	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɖ	ɟ	ɡ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t	ʈ	c	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	ʈʰ	cʰ	kʰ	5/5	1.0
	3/3	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0	1.0
