	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪|d	ɡb	ɟʝ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s̪|s	-		2/3	0.9773025371418165
periodicGlottalSource:-;category:affricate|plosive	p	t̪|t	kp	cç	4/4	1.0
	3/3	3/3	2/2	2/3
	1.0	1.0	1.0	0.8821472665701419
