	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:+;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d̪|d	ɡb	3/3	1.0
periodicGlottalSource:-	p	t̪|t	kp	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
