	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;round:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:+ | labial:-,+;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+ | labial:-,+;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;round:+;low:0	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	t̻s̻		t	t̠ʃ	c	k	q		7/9	0.9679758163016463
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s̻	ɬ		ʃ		x		xʷ	5/9	0.6841475319778096
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate		t̻s̻ʼ	tɬʼ	tʼ	t̠ʃʼ	cʼ	kʼ	qʼ	t̠ʃʷʼ	8/9	0.8537194592275358
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive		t̻s̻ʰ		tʰ		cʰ	kʰ	qʰ	t̠ʃʷʰ	6/9	0.6994190435991794
	1/4	4/4	2/4	3/4	3/4	3/4	4/4	3/4	3/4
	0.6837693649365555	1.0	0.755717160884272	0.9571300751452979	0.9078090411491602	0.8790317776185353	1.0	0.7116674456042693	0.5171597059749937
