	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	c	k	q	5/5	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-		tʰ	cʰ	kʰ	qʰ	4/5	0.728996687388195
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+		tʼ	cʼ	kʼ	qʼ	4/5	0.7621356040407852
	1/3	3/3	3/3	3/3	3/3
	0.8127404810397026	1.0	1.0	1.0	1.0
