	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɖ	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:+	bʱ	dʱ	ɖʱ	ɡʱ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t	ʈ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	ʈʰ	kʰ	4/4	1.0
	4/4	4/4	4/4	4/4
	1.0	1.0	1.0	1.0
