	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d		d̠	ɡ	4/5	0.8868779817555321
periodicGlottalSource:+;category:fricative			z			1/5	0.4023084789375666
periodicGlottalSource:-;category:affricate|plosive	p	t	ts		k	4/5	0.9992048222869151
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s			1/5	0.5146859190672208
	2/4	2/4	3/4	1/4	2/4
	0.7765446790726911	0.9036894656578184	0.8962722342034666	0.2270345467293978	0.8231799477121992
