	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d	d̠	ɡ	4/4	1.0
periodicGlottalSource:-	p	t		k	3/4	0.9998508737775204
	2/2	2/2	1/2	2/2
	1.0	1.0	0.8534213025417605	1.0
