	labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+			ɣ	1/3	0.3395427988961121
periodicGlottalSource:-	θ̪	s		2/3	0.7449346199148138
	1/2	1/2	1/2
	0.7209811905015922	0.7894718686030313	0.2955652519701484
