	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:-,+;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪	-	ɖ	ɟ	ɡ		5/6	0.9753191561866908
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪	-	ʈ	c	k	q	6/6	1.0
periodicGlottalSource:+;category:fricative						ɣ		1/7	0.13062542210296807
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		θ̪	s					2/7	0.6001478622645545
	2/4	3/4	1/2	2/4	2/4	3/4	1/4
	0.7763261414235745	0.9290006162973172	0.7894718686030313	0.9490878300684636	0.8169284772664792	0.9043884429490681	0.5439188271974328
