	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	bʷ	b	d	dz	d̠ʒ	dʷ	dzʷ	d̠ʒʷ	bʲ	ɡb	ɡ	ɡʲ	ɡʷ	13/13	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	fʷ	f		s	ʃ		sʷ	ʃʷ		-				6/12	0.6736267634492854
periodicGlottalSource:-;category:affricate|plosive	pʷ	p	t	ts	t̠ʃ	tʷ	tsʷ	t̠ʃʷ	pʲ	kp	k	kʲ	kʷ	13/13	1.0
	3/3	3/3	2/3	3/3	3/3	2/3	3/3	3/3	2/3	2/2	2/3	2/3	2/3
	1.0	1.0	0.9259297106463319	1.0	1.0	0.9258741779654911	1.0	1.0	0.8034706796056271	1.0	0.8686670143906876	0.8796914856451741	0.7788645463814579
