	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b	d		d̠ʒ	ɡb	ɡ	5/6	0.9543000394892798
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	ɗ	-	-	-		2/3	0.8038629283657579
periodicGlottalSource:+;category:fricative	v		z		-		2/5	0.5510344893828383
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p	t	ts	t̠ʃ	kp	k	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	-		3/5	0.6996525911823187
	5/5	3/5	3/4	3/4	2/2	2/5
	1.0	0.9036548980213532	0.9302895585623174	0.9236936179361749	1.0	0.813686642648233
