	labial:+;coronal:-;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+	labial:-;coronal:+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v	z̪	z̪ˤ	ʒ	ɣ		ʕ	6/7	0.934006791725361
periodicGlottalSource:-	f	s̪	s̪ˤ	ʃ	x	χ	ħ	7/7	1.0
	2/2	2/2	2/2	2/2	2/2	1/2	2/2
	1.0	1.0	1.0	1.0	1.0	0.6900584502243008	1.0
