	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+;distributed:+	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪	d̪ˤ	d̠ʒ	ɡ			5/7	0.9848037906218
periodicGlottalSource:+;category:fricative	v	z̪	z̪ˤ	ʒ	ɣ		ʕ	6/7	0.9466601601691828
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t̪ˤ	t̠ʃ	k	q	-	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪	s̪ˤ	ʃ	x	χ	ħ	7/7	1.0
	4/4	4/4	4/4	4/4	4/4	2/4	2/3
	1.0	1.0	1.0	1.0	1.0	0.8178469772678523	0.9865300961803996
