	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:+;distributed:-,+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-;retractedTongueRoot:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-;retractedTongueRoot:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;retractedTongueRoot:+ | labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;retractedTongueRoot:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;retractedTongueRoot:- | labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:plosive	b	d̪		ɖ	ɟ			4/7	0.49757930863751965
periodicGlottalSource:-;spreadGlottis:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪		ʈ	c	k̙		5/7	0.42594642441319847
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive		t̪ʰ	tʰ	ʈʰ		-		3/6	0.31505130751887783
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		θ	s				χ	3/7	0.7721373860697024
	2/4	4/4	2/4	3/4	2/4	1/3	1/4
	0.7510261274687459	1.0	0.47424374738688513	0.9795896628913024	0.7701096841167313	0.1964312780002689	0.1251715046532998
