	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪		ɖ	ɟ		4/6	0.6779450493249118
periodicGlottalSource:-;spreadGlottis:-	p	t̪		ʈ	c	k̙	5/6	0.6456320437314009
periodicGlottalSource:-;spreadGlottis:+		t̪ʰ	tʰ	ʈʰ		-	3/5	0.4910031552500252
	2/3	3/3	1/3	3/3	2/3	1/2
	0.8931052132673866	1.0	0.10418952501562478	1.0	0.890526140260328	0.9285714285714286
