	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-,+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+,-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	d̠ʒ	ɡb	ɡ		5/6	0.9999921879130923
periodicGlottalSource:+;category:fricative	v			-	ɣ	ɣv	3/5	0.5179874100315509
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	kp	k		5/6	0.9999967671198724
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	ʃ	-		-	3/4	0.801866792995265
	4/4	3/4	3/4	2/2	3/4	1/3
	1.0	0.9421433832502606	0.9236936179361749	1.0	0.8754418110200178	0.19999999999999962
