	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+,-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v		ɣv	ɣ	3/4	0.6901626951393656
periodicGlottalSource:-	f	s		ʃ	3/4	0.9982441749807687
	2/2	1/2	1/2	2/2
	1.0	0.7931118804251478	0.45841914037718295	1.0
