	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	d̠ʒ	ɡ	ɡʷ	6/6	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	β						1/6	0.2661184866480069
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	k		5/6	0.9629313991928072
	3/3	2/3	2/3	2/3	2/3	1/3
	1.0	0.978937577149449	0.7615901310720802	0.8945948566916411	0.9405164447595633	0.16582302809341687
