	labial:+;coronal:-;distributed:0;dorsal:- | labial:+;coronal:-;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;distributed:-;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:- | labial:-;coronal:+;distributed:-,+;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:-;strident:- | labial:-;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;distributed:0;dorsal:-;strident:+ | labial:-;coronal:+;distributed:+;dorsal:-;strident:+	labial:-;coronal:-;distributed:0;dorsal:+ | labial:-;coronal:+;distributed:+;dorsal:+;anterior:+;strident:+;front:+ | labial:-;coronal:+;distributed:+;dorsal:+;anterior:-;strident:-;front:+ | labial:-;coronal:+;distributed:+;dorsal:-,+;anterior:-;strident:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d		2/3	0.6647603743943612
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive		ɗ		1/3	0.40343642864455787
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive			k	1/3	0.365973622348306
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		θ		1/3	0.6831710514821355
	1/4	3/4	1/4
	0.27005834640081555	0.5630434717330927	0.6180943460888937
