	labial:+;labiodental:-;coronal:-;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β			1/3	0.17630600388449602
periodicGlottalSource:-	ɸ	f	s	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7610533045600901	0.7867127549172216
