	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-			ɟʝ	1/3	0.058109643245937044
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	ts	t̠ʃ	cç	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	tsʼ	t̠ʃʼ	cçʼ	3/3	1.0
	2/3	2/3	3/3
	0.8305301738727522	0.7613064823956459	1.0
