	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	dz		1/2	0.38394695862249767
periodicGlottalSource:+;spreadGlottis:+	dzʱ		1/2	0.7555420210012407
periodicGlottalSource:-;spreadGlottis:-	ts	t̠ʃ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+	tsʰ		1/2	0.5569497059394388
	4/4	1/4
	1.0	0.6284873782262621
