	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	dz		ɡ	ɢ	5/6	0.9245205757832752
periodicGlottalSource:+;spreadGlottis:+;category:affricate|plosive	bʱ	dʱ	dzʱ		ɡʱ		4/6	0.9028696070095495
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s			χ	2/6	0.42149177259855
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	ts	t̠ʃ	k	q	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	tʰ	tsʰ		kʰ	qʰ	5/6	0.9029966248839173
	4/5	4/5	5/5	1/5	4/5	4/5
	0.8419743742003081	0.9257159770372048	1.0	0.4433073728832754	0.8980082608864814	0.9912070145692429
