	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,+;front:+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪|d	d̪z̪|dz	d̠ʒ	bʲ	d̪ʲ|dʲ	d̪z̪ʲ|dzʲ	ɡ	ɡʲ	9/9	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s̪|s	ʃ	fʲ		s̪ʲ|sʲ			5/9	0.747840719553178
periodicGlottalSource:-;category:affricate|plosive	p	t̪|t	t̪s̪|ts	t̠ʃ	pʲ	t̪ʲ|tʲ	t̪s̪ʲ|tsʲ	k	kʲ	9/9	1.0
	3/3	2/3	3/3	3/3	3/3	2/3	3/3	2/3	2/3
	1.0	0.9505589966492557	1.0	1.0	1.0	0.9330898233071512	1.0	0.8686670143906876	0.9294869675612162
