	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-		d		1/3	0.34483228520557213
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	kʰ	3/3	1.0
	1/2	2/2	1/2
	0.2349973231785954	1.0	0.30334213826495127
