	ɬʼ	sʼ				2/6	0.5559979835055401
v	ɮ	z		ʁ	ʁʷ	5/6	0.8454243257376503
f	ɬ	s	ʃ	x	xʷ	6/6	1.0
2/3	3/3	3/3	1/3	2/3	2/3
0.9849942490839528	1.0	1.0	0.7722598256112567	0.9892413417318441	0.9855163068183485
