		kʼ	kʷʼ	2/4	0.5154280635025341
b	d	ɡ	ɡʷ	4/4	1.0
ɓ	ɗ		-	2/3	0.8107532824294101
p	t	k	kʷ	4/4	1.0
3/4	3/4	3/4	3/3
0.9272943809347802	0.9245237852601895	0.9880015935297997	1.0
