	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0 | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+ | labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		ɬʼ	sʼ				2/6	0.5559979835055401
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	v	ɮ	z		ʁ	ʁʷ	5/6	0.8454243257376503
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	f	ɬ	s	ʃ	x	xʷ	6/6	1.0
	2/3	3/3	3/3	1/3	2/3	2/3
	0.9849942490839528	1.0	1.0	0.7722598256112567	0.9892413417318441	0.9855163068183485
