	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:- | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+;distributed:+	count	markedness_count
periodicGlottalSource:+	β		ʝ	2/3	0.5521018917794597
periodicGlottalSource:-		s̪|s	x	2/3	0.8073101439660725
	1/2	1/2	2/2
	0.33747892892306774	0.7929341138564405	1.0
