	labial:+;coronal:-;strident:0;dorsal:-	labial:-;coronal:+;strident:-;dorsal:-	labial:-;coronal:+;strident:+;dorsal:-	labial:-;coronal:+,-;strident:-;dorsal:-,+	labial:-;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d				2/5	0.5800458035516999
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	tx	k	5/5	1.0
	2/2	2/2	1/2	1/2	1/2
	1.0	1.0	0.7898575399133665	0.8893684755909894	0.7154313868640699
