	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t		k	3/4	0.9603313270706587
periodicGlottalSource:+;sonorant:-;nasal:-		d		ɡ	2/4	0.5991906218751252
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ɲɟ	ŋɡ	4/4	1.0
	2/3	3/3	1/3	3/3
	0.6707221651010207	1.0	0.026536208487912275	1.0
