	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:- | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:-;lateral:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;front:- | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;strident:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b		ɟ	2/3	0.6931828055652933
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f			1/3	0.18262715158995807
	3/3	1/3	2/3
	1.0	0.46074557615443684	0.8740161306955803
