	labial:+;coronal:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:-;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:- | labial:-;coronal:-;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ	kʼ	qʼ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	b	d̪	ɡ	ʕ̝	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	t̪ʰ	kʰ	qʰ	4/4	1.0
	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0
