	labiodental:0;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	d̪z̪	d̠ʒ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	t̪s̪ʰ	t̠ʃʰ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	t̪s̪ʼ	t̠ʃʼ	2/2	1.0
	3/3	3/3
	1.0	1.0
