	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;low:-;retractedTongueRoot:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;low:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	β	z̪		ʒ	ʁ		4/6	0.969385482034265
periodicGlottalSource:-	ɸ	s̪	ɬ	ʃ	χ	ħ	6/6	1.0
	2/2	2/2	1/2	2/2	2/2	1/2
	1.0	1.0	0.9048884957099266	1.0	1.0	0.7233606974850547
