	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡb		3/4	0.6661279536527822
periodicGlottalSource:-	p	t		k	3/4	0.9939323543020521
	2/2	2/2	1/2	1/2
	1.0	1.0	0.530589332093437	0.7131090135848781
