	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:+;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;round:0;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;low:-;front:+;back:-;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;round:0;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b		d	dz						ɡʷ				dʑ	5/14	0.6232437370840456
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:fricative	fʼ	ɬʼ			ʆʼ		-	-							3/12	0.3537036638433708
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative	v			z	ʓ	ʒ		zʷ	ɣ		ʁ		ʁʷ	ʑ	9/14	0.9083232294485717
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p		t	ts		t̠ʃ				kʷ	q	-	qʷ	tɕ	8/13	0.7315710097938827
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ		s	ʆ	ʃ			x	xʷ	χ	ħ	χʷ	ɕ	11/14	0.9451672011140212
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	pʼ		tʼ	tsʼ	-	t̠ʃʼ	tʷʼ	tsʷʼ	kʼ	kʷʼ	qʼ	-	qʷʼ	tɕʼ	11/12	0.974599839235448
	6/6	2/6	3/6	5/6	3/5	4/6	1/5	2/5	3/6	4/6	4/6	1/4	4/6	5/6
	1.0	0.5779552393045377	0.9394149352290663	0.9896764816224676	0.6008033965529959	0.8414981716813082	0.4130961758299894	0.5025097916574525	0.21189186135342533	0.9877316071767366	0.9204491985699149	0.7105064000938678	0.9586526380129075	0.971467510453207
