	labial:+;coronal:-;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;distributed:0;dorsal:-;front:0;strident:+	labial:-;coronal:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t̪	t̺	ȶ	k	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative					ɣ	1/5	0.21155745659576664
	1/2	1/2	1/2	1/2	2/2
	0.8194751736723318	0.5651434852440202	0.8334209808504439	0.9311165377015049	1.0
