	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;loweredLarynxImplosive:-	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-;loweredLarynxImplosive:+	ɓ	ɗ	ʄ		3/4	0.9199464835173089
periodicGlottalSource:+;constrictedGlottis:+;loweredLarynxImplosive:-	p̰	t̰	c̰	k̰	4/4	1.0
periodicGlottalSource:-;constrictedGlottis:-;loweredLarynxImplosive:-	p	t	c	k	4/4	1.0
	4/4	4/4	4/4	3/4
	1.0	1.0	1.0	0.9935139707834955
