	labiodental:0;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;distributed:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	t̠ʃ	ʈʂ	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		ɳɖʐ	1/2	0.35606396388224704
	1/2	2/2
	0.7649645191750227	1.0
