	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;round:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b	d	dz	ɡb	ɡ	ɡʷ	6/6	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ		-	-		-	1/3	0.39205063234099496
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	v			-	ɣ		2/5	0.5006517560261577
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p	t		kp	k	kʷ	5/6	0.8256576078647034
	4/4	2/4	1/3	2/2	3/4	2/3
	1.0	0.9570235307514113	0.17394634252142682	1.0	0.9891975959266267	0.9425741526567323
