	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z		ɣ	3/4	0.8642623069147988
periodicGlottalSource:-	f	s	ʃ	x	4/4	1.0
	2/2	2/2	1/2	2/2
	1.0	1.0	0.7783204924998441	1.0
